Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),S3 Standard,0,116.3,1395.60,USD,S3 Standard storage (4000 GB per month)
My Estimate,US East (Ohio),Data Transfer,0,0,0.00,USD,Data Transfer
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,200.7,2408.40,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,56.21,674.52,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon EC2,108.62,25.05,409.22,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (40 GB), Instance type (t3.micro)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,400,79.288,1351.46,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (db.t3.small)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
